'Elapsed time','MLII','V5'
'2:02.286',-0.340,-0.275
'2:02.289',-0.335,-0.275
'2:02.292',-0.340,-0.275
'2:02.294',-0.340,-0.280
'2:02.297',-0.340,-0.270
'2:02.300',-0.345,-0.265
'2:02.303',-0.335,-0.280
'2:02.306',-0.350,-0.285
'2:02.308',-0.355,-0.280
'2:02.311',-0.340,-0.270
'2:02.314',-0.350,-0.270
'2:02.317',-0.340,-0.275
'2:02.319',-0.360,-0.300
'2:02.322',-0.375,-0.315
'2:02.325',-0.380,-0.305
'2:02.328',-0.365,-0.290
'2:02.331',-0.355,-0.280
'2:02.333',-0.355,-0.285
'2:02.336',-0.355,-0.300
'2:02.339',-0.360,-0.305
'2:02.342',-0.360,-0.295
'2:02.344',-0.355,-0.300
'2:02.347',-0.350,-0.300
'2:02.350',-0.345,-0.305
'2:02.353',-0.360,-0.300
'2:02.356',-0.370,-0.305
'2:02.358',-0.395,-0.310
'2:02.361',-0.370,-0.280
'2:02.364',-0.360,-0.290
'2:02.367',-0.360,-0.305
'2:02.369',-0.375,-0.325
'2:02.372',-0.390,-0.325
'2:02.375',-0.385,-0.330
'2:02.378',-0.375,-0.305
'2:02.381',-0.375,-0.295
'2:02.383',-0.370,-0.305
'2:02.386',-0.370,-0.310
'2:02.389',-0.380,-0.335
'2:02.392',-0.385,-0.320
'2:02.394',-0.385,-0.315
'2:02.397',-0.375,-0.310
'2:02.400',-0.365,-0.305
'2:02.403',-0.380,-0.305
'2:02.406',-0.390,-0.310
'2:02.408',-0.400,-0.320
'2:02.411',-0.385,-0.310
'2:02.414',-0.370,-0.305
'2:02.417',-0.390,-0.320
'2:02.419',-0.390,-0.310
'2:02.422',-0.395,-0.325
'2:02.425',-0.410,-0.325
'2:02.428',-0.400,-0.320
'2:02.431',-0.390,-0.315
'2:02.433',-0.365,-0.305
'2:02.436',-0.380,-0.320
'2:02.439',-0.380,-0.325
'2:02.442',-0.380,-0.330
'2:02.444',-0.390,-0.305
'2:02.447',-0.375,-0.305
'2:02.450',-0.370,-0.305
'2:02.453',-0.370,-0.315
'2:02.456',-0.380,-0.340
'2:02.458',-0.400,-0.335
'2:02.461',-0.370,-0.315
'2:02.464',-0.370,-0.320
'2:02.467',-0.360,-0.315
'2:02.469',-0.370,-0.325
'2:02.472',-0.375,-0.335
'2:02.475',-0.380,-0.325
'2:02.478',-0.380,-0.310
'2:02.481',-0.365,-0.305
'2:02.483',-0.350,-0.295
'2:02.486',-0.345,-0.315
'2:02.489',-0.335,-0.330
'2:02.492',-0.340,-0.335
'2:02.494',-0.325,-0.330
'2:02.497',-0.325,-0.315
'2:02.500',-0.325,-0.330
'2:02.503',-0.320,-0.335
'2:02.506',-0.330,-0.320
'2:02.508',-0.325,-0.330
'2:02.511',-0.315,-0.305
'2:02.514',-0.290,-0.300
'2:02.517',-0.290,-0.300
'2:02.519',-0.285,-0.295
'2:02.522',-0.285,-0.290
'2:02.525',-0.280,-0.295
'2:02.528',-0.265,-0.295
'2:02.531',-0.265,-0.295
'2:02.533',-0.260,-0.290
'2:02.536',-0.280,-0.305
'2:02.539',-0.285,-0.310
'2:02.542',-0.305,-0.305
'2:02.544',-0.295,-0.290
'2:02.547',-0.275,-0.290
'2:02.550',-0.265,-0.280
'2:02.553',-0.270,-0.280
'2:02.556',-0.285,-0.300
'2:02.558',-0.305,-0.285
'2:02.561',-0.305,-0.275
'2:02.564',-0.305,-0.280
'2:02.567',-0.300,-0.285
'2:02.569',-0.290,-0.295
'2:02.572',-0.295,-0.315
'2:02.575',-0.300,-0.325
'2:02.578',-0.315,-0.315
'2:02.581',-0.330,-0.305
'2:02.583',-0.345,-0.315
'2:02.586',-0.375,-0.315
'2:02.589',-0.385,-0.330
'2:02.592',-0.390,-0.335
'2:02.594',-0.385,-0.345
'2:02.597',-0.380,-0.340
'2:02.600',-0.385,-0.335
'2:02.603',-0.390,-0.330
'2:02.606',-0.390,-0.340
'2:02.608',-0.390,-0.345
'2:02.611',-0.385,-0.335
'2:02.614',-0.395,-0.340
'2:02.617',-0.395,-0.335
'2:02.619',-0.395,-0.345
'2:02.622',-0.425,-0.360
'2:02.625',-0.415,-0.340
'2:02.628',-0.410,-0.335
'2:02.631',-0.395,-0.340
'2:02.633',-0.395,-0.350
'2:02.636',-0.410,-0.350
'2:02.639',-0.405,-0.355
'2:02.642',-0.415,-0.350
'2:02.644',-0.400,-0.335
'2:02.647',-0.395,-0.325
'2:02.650',-0.405,-0.330
'2:02.653',-0.415,-0.380
'2:02.656',-0.435,-0.400
'2:02.658',-0.470,-0.420
'2:02.661',-0.500,-0.415
'2:02.664',-0.490,-0.435
'2:02.667',-0.495,-0.460
'2:02.669',-0.535,-0.475
'2:02.672',-0.600,-0.430
'2:02.675',-0.615,-0.330
'2:02.678',-0.575,-0.205
'2:02.681',-0.475,-0.115
'2:02.683',-0.350,-0.035
'2:02.686',-0.190,0.020
'2:02.689',0.005,0.110
'2:02.692',0.265,0.245
'2:02.694',0.565,0.355
'2:02.697',0.780,0.335
'2:02.700',0.860,0.090
'2:02.703',0.735,-0.250
'2:02.706',0.400,-0.485
'2:02.708',-0.025,-0.520
'2:02.711',-0.360,-0.460
'2:02.714',-0.490,-0.405
'2:02.717',-0.525,-0.375
'2:02.719',-0.500,-0.375
'2:02.722',-0.460,-0.390
'2:02.725',-0.445,-0.375
'2:02.728',-0.440,-0.365
'2:02.731',-0.430,-0.350
'2:02.733',-0.415,-0.355
'2:02.736',-0.420,-0.365
'2:02.739',-0.425,-0.370
'2:02.742',-0.450,-0.370
'2:02.744',-0.430,-0.365
'2:02.747',-0.425,-0.365
'2:02.750',-0.425,-0.355
'2:02.753',-0.425,-0.355
'2:02.756',-0.440,-0.360
'2:02.758',-0.435,-0.365
'2:02.761',-0.430,-0.355
'2:02.764',-0.430,-0.350
'2:02.767',-0.415,-0.360
'2:02.769',-0.425,-0.355
'2:02.772',-0.425,-0.365
'2:02.775',-0.430,-0.350
'2:02.778',-0.435,-0.355
'2:02.781',-0.410,-0.340
'2:02.783',-0.415,-0.345
'2:02.786',-0.425,-0.360
'2:02.789',-0.430,-0.365
'2:02.792',-0.440,-0.350
'2:02.794',-0.440,-0.335
'2:02.797',-0.420,-0.335
'2:02.800',-0.420,-0.340
'2:02.803',-0.415,-0.340
'2:02.806',-0.425,-0.355
'2:02.808',-0.440,-0.355
'2:02.811',-0.435,-0.350
'2:02.814',-0.415,-0.345
'2:02.817',-0.430,-0.350
'2:02.819',-0.420,-0.365
'2:02.822',-0.430,-0.360
'2:02.825',-0.435,-0.350
'2:02.828',-0.435,-0.335
'2:02.831',-0.425,-0.330
'2:02.833',-0.425,-0.350
'2:02.836',-0.435,-0.355
'2:02.839',-0.440,-0.355
'2:02.842',-0.435,-0.365
'2:02.844',-0.430,-0.340
'2:02.847',-0.430,-0.340
'2:02.850',-0.420,-0.350
'2:02.853',-0.430,-0.360
'2:02.856',-0.435,-0.360
'2:02.858',-0.440,-0.370
'2:02.861',-0.430,-0.355
'2:02.864',-0.420,-0.350
'2:02.867',-0.420,-0.345
'2:02.869',-0.410,-0.345
'2:02.872',-0.430,-0.360
'2:02.875',-0.420,-0.360
'2:02.878',-0.420,-0.360
'2:02.881',-0.410,-0.350
'2:02.883',-0.415,-0.360
'2:02.886',-0.425,-0.370
'2:02.889',-0.420,-0.385
'2:02.892',-0.435,-0.380
'2:02.894',-0.430,-0.390
'2:02.897',-0.420,-0.380
'2:02.900',-0.430,-0.395
'2:02.903',-0.425,-0.405
'2:02.906',-0.430,-0.405
'2:02.908',-0.435,-0.410
'2:02.911',-0.435,-0.405
'2:02.914',-0.430,-0.430
'2:02.917',-0.430,-0.420
'2:02.919',-0.450,-0.440
'2:02.922',-0.455,-0.460
'2:02.925',-0.455,-0.455
'2:02.928',-0.450,-0.445
'2:02.931',-0.465,-0.450
'2:02.933',-0.450,-0.460
'2:02.936',-0.460,-0.480
'2:02.939',-0.465,-0.495
'2:02.942',-0.465,-0.475
'2:02.944',-0.455,-0.465
'2:02.947',-0.455,-0.465
'2:02.950',-0.460,-0.460
'2:02.953',-0.460,-0.460
'2:02.956',-0.465,-0.460
'2:02.958',-0.475,-0.460
'2:02.961',-0.465,-0.430
'2:02.964',-0.440,-0.415
'2:02.967',-0.435,-0.400
'2:02.969',-0.435,-0.385
'2:02.972',-0.420,-0.385
'2:02.975',-0.415,-0.370
'2:02.978',-0.395,-0.355
'2:02.981',-0.375,-0.330
'2:02.983',-0.360,-0.310
'2:02.986',-0.355,-0.320
'2:02.989',-0.355,-0.315
'2:02.992',-0.355,-0.300
'2:02.994',-0.340,-0.275
'2:02.997',-0.325,-0.275
'2:03.000',-0.320,-0.275
'2:03.003',-0.305,-0.285
'2:03.006',-0.315,-0.290
'2:03.008',-0.310,-0.280
'2:03.011',-0.305,-0.255
'2:03.014',-0.290,-0.255
'2:03.017',-0.285,-0.265
'2:03.019',-0.290,-0.270
'2:03.022',-0.285,-0.280
'2:03.025',-0.295,-0.265
'2:03.028',-0.285,-0.255
'2:03.031',-0.285,-0.250
'2:03.033',-0.290,-0.255
'2:03.036',-0.300,-0.260
'2:03.039',-0.300,-0.275
'2:03.042',-0.310,-0.270
'2:03.044',-0.305,-0.250
'2:03.047',-0.285,-0.255
'2:03.050',-0.295,-0.265
'2:03.053',-0.295,-0.265
'2:03.056',-0.300,-0.290
'2:03.058',-0.300,-0.270
'2:03.061',-0.305,-0.250
'2:03.064',-0.285,-0.260
'2:03.067',-0.290,-0.250
'2:03.069',-0.300,-0.270
'2:03.072',-0.300,-0.285
'2:03.075',-0.310,-0.275
'2:03.078',-0.305,-0.270
'2:03.081',-0.295,-0.250
'2:03.083',-0.285,-0.265
'2:03.086',-0.295,-0.265
'2:03.089',-0.300,-0.280
'2:03.092',-0.300,-0.280
'2:03.094',-0.290,-0.270
'2:03.097',-0.290,-0.270
'2:03.100',-0.295,-0.270
'2:03.103',-0.300,-0.280
'2:03.106',-0.305,-0.280
'2:03.108',-0.320,-0.285
'2:03.111',-0.300,-0.275
'2:03.114',-0.305,-0.280
'2:03.117',-0.300,-0.285
'2:03.119',-0.310,-0.295
'2:03.122',-0.310,-0.305
'2:03.125',-0.320,-0.290
'2:03.128',-0.320,-0.285
'2:03.131',-0.315,-0.290
'2:03.133',-0.315,-0.295
'2:03.136',-0.320,-0.305
'2:03.139',-0.325,-0.315
'2:03.142',-0.330,-0.310
'2:03.144',-0.335,-0.290
'2:03.147',-0.325,-0.285
'2:03.150',-0.320,-0.280
'2:03.153',-0.325,-0.300
'2:03.156',-0.330,-0.315
'2:03.158',-0.330,-0.300
'2:03.161',-0.325,-0.295
'2:03.164',-0.325,-0.290
'2:03.167',-0.325,-0.295
'2:03.169',-0.320,-0.305
'2:03.172',-0.330,-0.305
'2:03.175',-0.340,-0.300
'2:03.178',-0.330,-0.285
'2:03.181',-0.330,-0.280
'2:03.183',-0.320,-0.295
'2:03.186',-0.320,-0.305
'2:03.189',-0.320,-0.295
'2:03.192',-0.330,-0.305
'2:03.194',-0.330,-0.275
'2:03.197',-0.310,-0.275
'2:03.200',-0.315,-0.285
'2:03.203',-0.315,-0.295
'2:03.206',-0.330,-0.300
'2:03.208',-0.325,-0.295
'2:03.211',-0.320,-0.285
'2:03.214',-0.315,-0.280
'2:03.217',-0.315,-0.270
'2:03.219',-0.320,-0.290
'2:03.222',-0.320,-0.295
'2:03.225',-0.325,-0.290
'2:03.228',-0.320,-0.280
'2:03.231',-0.305,-0.280
'2:03.233',-0.300,-0.280
'2:03.236',-0.310,-0.280
'2:03.239',-0.310,-0.290
'2:03.242',-0.315,-0.285
'2:03.244',-0.320,-0.280
'2:03.247',-0.310,-0.280
'2:03.250',-0.315,-0.275
'2:03.253',-0.305,-0.290
'2:03.256',-0.320,-0.300
'2:03.258',-0.325,-0.285
'2:03.261',-0.305,-0.275
'2:03.264',-0.290,-0.280
'2:03.267',-0.290,-0.270
'2:03.269',-0.285,-0.275
'2:03.272',-0.290,-0.295
'2:03.275',-0.285,-0.290
'2:03.278',-0.265,-0.285
'2:03.281',-0.255,-0.280
'2:03.283',-0.235,-0.260
'2:03.286',-0.240,-0.280
'2:03.289',-0.235,-0.280
'2:03.292',-0.240,-0.260
'2:03.294',-0.235,-0.255
'2:03.297',-0.220,-0.255
'2:03.300',-0.205,-0.245
'2:03.303',-0.215,-0.250
'2:03.306',-0.195,-0.255
'2:03.308',-0.200,-0.240
'2:03.311',-0.190,-0.230
'2:03.314',-0.190,-0.230
'2:03.317',-0.190,-0.235
'2:03.319',-0.195,-0.245
'2:03.322',-0.200,-0.250
'2:03.325',-0.215,-0.250
'2:03.328',-0.215,-0.235
'2:03.331',-0.200,-0.230
'2:03.333',-0.210,-0.225
'2:03.336',-0.230,-0.230
'2:03.339',-0.225,-0.240
'2:03.342',-0.230,-0.235
'2:03.344',-0.235,-0.220
'2:03.347',-0.240,-0.205
'2:03.350',-0.225,-0.225
'2:03.353',-0.210,-0.240
'2:03.356',-0.205,-0.260
'2:03.358',-0.210,-0.255
'2:03.361',-0.225,-0.255
'2:03.364',-0.250,-0.235
'2:03.367',-0.260,-0.245
'2:03.369',-0.275,-0.260
'2:03.372',-0.300,-0.275
'2:03.375',-0.315,-0.275
'2:03.378',-0.325,-0.265
'2:03.381',-0.325,-0.265
'2:03.383',-0.315,-0.275
'2:03.386',-0.320,-0.275
'2:03.389',-0.325,-0.285
'2:03.392',-0.335,-0.285
'2:03.394',-0.325,-0.280
'2:03.397',-0.320,-0.270
'2:03.400',-0.320,-0.280
'2:03.403',-0.330,-0.280
'2:03.406',-0.335,-0.300
'2:03.408',-0.345,-0.285
'2:03.411',-0.340,-0.275
'2:03.414',-0.335,-0.280
'2:03.417',-0.340,-0.285
'2:03.419',-0.345,-0.295
'2:03.422',-0.355,-0.300
'2:03.425',-0.360,-0.285
'2:03.428',-0.350,-0.280
'2:03.431',-0.350,-0.275
'2:03.433',-0.345,-0.280
'2:03.436',-0.365,-0.310
'2:03.439',-0.380,-0.340
'2:03.442',-0.415,-0.375
'2:03.444',-0.440,-0.370
'2:03.447',-0.465,-0.395
'2:03.450',-0.480,-0.420
'2:03.453',-0.510,-0.440
'2:03.456',-0.560,-0.420
'2:03.458',-0.605,-0.325
'2:03.461',-0.580,-0.225
'2:03.464',-0.490,-0.085
'2:03.467',-0.380,0.020
'2:03.469',-0.250,0.100
'2:03.472',-0.150,0.175
'2:03.475',-0.020,0.290
'2:03.478',0.205,0.415
'2:03.481',0.480,0.545
'2:03.483',0.735,0.640
'2:03.486',0.920,0.645
'2:03.489',0.980,0.445
'2:03.492',0.895,0.070
'2:03.494',0.625,-0.245
'2:03.497',0.200,-0.355
'2:03.500',-0.205,-0.325
'2:03.503',-0.455,-0.310
'2:03.506',-0.495,-0.330
'2:03.508',-0.460,-0.320
'2:03.511',-0.410,-0.305
'2:03.514',-0.365,-0.295
'2:03.517',-0.380,-0.310
'2:03.519',-0.385,-0.325
'2:03.522',-0.380,-0.330
'2:03.525',-0.395,-0.340
'2:03.528',-0.380,-0.330
'2:03.531',-0.375,-0.320
'2:03.533',-0.385,-0.330
'2:03.536',-0.390,-0.340
'2:03.539',-0.395,-0.340
'2:03.542',-0.405,-0.340
'2:03.544',-0.390,-0.325
'2:03.547',-0.380,-0.325
'2:03.550',-0.375,-0.330
'2:03.553',-0.390,-0.350
'2:03.556',-0.400,-0.350
'2:03.558',-0.405,-0.335
'2:03.561',-0.395,-0.325
'2:03.564',-0.385,-0.320
'2:03.567',-0.385,-0.335
'2:03.569',-0.395,-0.335
'2:03.572',-0.395,-0.345
'2:03.575',-0.415,-0.335
'2:03.578',-0.390,-0.320
'2:03.581',-0.380,-0.315
'2:03.583',-0.380,-0.320
'2:03.586',-0.380,-0.320
'2:03.589',-0.390,-0.335
'2:03.592',-0.395,-0.325
'2:03.594',-0.385,-0.330
'2:03.597',-0.380,-0.325
'2:03.600',-0.380,-0.320
'2:03.603',-0.385,-0.335
'2:03.606',-0.390,-0.340
'2:03.608',-0.400,-0.330
'2:03.611',-0.395,-0.315
'2:03.614',-0.380,-0.315
'2:03.617',-0.385,-0.320
'2:03.619',-0.385,-0.330
'2:03.622',-0.385,-0.340
'2:03.625',-0.395,-0.340
'2:03.628',-0.385,-0.330
'2:03.631',-0.380,-0.320
'2:03.633',-0.385,-0.315
'2:03.636',-0.385,-0.330
'2:03.639',-0.395,-0.345
'2:03.642',-0.405,-0.345
'2:03.644',-0.390,-0.330
'2:03.647',-0.385,-0.330
'2:03.650',-0.370,-0.330
'2:03.653',-0.385,-0.340
'2:03.656',-0.390,-0.355
'2:03.658',-0.405,-0.345
'2:03.661',-0.390,-0.345
'2:03.664',-0.380,-0.345
'2:03.667',-0.380,-0.345
'2:03.669',-0.380,-0.355
'2:03.672',-0.390,-0.375
'2:03.675',-0.390,-0.375
'2:03.678',-0.390,-0.365
'2:03.681',-0.380,-0.365
'2:03.683',-0.360,-0.370
'2:03.686',-0.370,-0.385
'2:03.689',-0.380,-0.395
'2:03.692',-0.380,-0.395
'2:03.694',-0.400,-0.390
'2:03.697',-0.375,-0.390
'2:03.700',-0.380,-0.405
'2:03.703',-0.385,-0.410
'2:03.706',-0.395,-0.435
'2:03.708',-0.400,-0.445
'2:03.711',-0.400,-0.425
'2:03.714',-0.400,-0.435
'2:03.717',-0.395,-0.430
'2:03.719',-0.395,-0.420
'2:03.722',-0.390,-0.455
'2:03.725',-0.400,-0.450
'2:03.728',-0.385,-0.460
'2:03.731',-0.385,-0.455
'2:03.733',-0.395,-0.450
'2:03.736',-0.390,-0.475
'2:03.739',-0.400,-0.490
'2:03.742',-0.400,-0.475
'2:03.744',-0.395,-0.475
'2:03.747',-0.395,-0.465
'2:03.750',-0.400,-0.465
'2:03.753',-0.395,-0.475
'2:03.756',-0.400,-0.485
'2:03.758',-0.395,-0.470
'2:03.761',-0.390,-0.450
'2:03.764',-0.370,-0.435
'2:03.767',-0.370,-0.415
'2:03.769',-0.375,-0.425
'2:03.772',-0.370,-0.405
'2:03.775',-0.365,-0.385
'2:03.778',-0.350,-0.370
'2:03.781',-0.335,-0.350
'2:03.783',-0.330,-0.345
'2:03.786',-0.320,-0.330
'2:03.789',-0.330,-0.325
'2:03.792',-0.325,-0.310
'2:03.794',-0.315,-0.300
'2:03.797',-0.300,-0.280
'2:03.800',-0.285,-0.275
'2:03.803',-0.285,-0.280
'2:03.806',-0.290,-0.290
'2:03.808',-0.295,-0.280
'2:03.811',-0.290,-0.265
'2:03.814',-0.255,-0.250
'2:03.817',-0.265,-0.255
'2:03.819',-0.270,-0.280
'2:03.822',-0.270,-0.280
'2:03.825',-0.275,-0.275
'2:03.828',-0.275,-0.265
'2:03.831',-0.265,-0.245
'2:03.833',-0.260,-0.250
'2:03.836',-0.265,-0.265
'2:03.839',-0.275,-0.265
'2:03.842',-0.280,-0.260
'2:03.844',-0.260,-0.255
'2:03.847',-0.260,-0.250
'2:03.850',-0.270,-0.255
'2:03.853',-0.260,-0.255
'2:03.856',-0.280,-0.265
'2:03.858',-0.285,-0.260
'2:03.861',-0.275,-0.260
'2:03.864',-0.270,-0.245
'2:03.867',-0.275,-0.255
'2:03.869',-0.275,-0.270
'2:03.872',-0.295,-0.280
'2:03.875',-0.285,-0.275
'2:03.878',-0.290,-0.270
'2:03.881',-0.280,-0.265
'2:03.883',-0.280,-0.265
'2:03.886',-0.280,-0.280
'2:03.889',-0.305,-0.280
'2:03.892',-0.310,-0.295
'2:03.894',-0.300,-0.265
'2:03.897',-0.295,-0.275
'2:03.900',-0.280,-0.270
'2:03.903',-0.300,-0.285
'2:03.906',-0.300,-0.290
'2:03.908',-0.305,-0.285
'2:03.911',-0.300,-0.285
'2:03.914',-0.295,-0.280
'2:03.917',-0.300,-0.290
'2:03.919',-0.300,-0.285
'2:03.922',-0.305,-0.295
'2:03.925',-0.320,-0.295
'2:03.928',-0.310,-0.285
'2:03.931',-0.305,-0.280
'2:03.933',-0.305,-0.285
'2:03.936',-0.315,-0.305
'2:03.939',-0.315,-0.310
'2:03.942',-0.325,-0.305
'2:03.944',-0.325,-0.300
'2:03.947',-0.315,-0.285
'2:03.950',-0.320,-0.290
'2:03.953',-0.320,-0.300
'2:03.956',-0.330,-0.310
'2:03.958',-0.325,-0.315
'2:03.961',-0.330,-0.295
'2:03.964',-0.315,-0.300
'2:03.967',-0.315,-0.290
'2:03.969',-0.315,-0.300
'2:03.972',-0.320,-0.305
'2:03.975',-0.330,-0.310
'2:03.978',-0.310,-0.300
'2:03.981',-0.315,-0.295
'2:03.983',-0.310,-0.290
'2:03.986',-0.315,-0.295
'2:03.989',-0.325,-0.310
'2:03.992',-0.335,-0.300
'2:03.994',-0.330,-0.295
'2:03.997',-0.310,-0.295
'2:04.000',-0.320,-0.295
'2:04.003',-0.315,-0.300
'2:04.006',-0.320,-0.310
'2:04.008',-0.330,-0.320
'2:04.011',-0.325,-0.290
'2:04.014',-0.310,-0.275
'2:04.017',-0.315,-0.285
'2:04.019',-0.305,-0.290
'2:04.022',-0.310,-0.305
'2:04.025',-0.330,-0.300
'2:04.028',-0.320,-0.285
'2:04.031',-0.305,-0.290
'2:04.033',-0.310,-0.295
'2:04.036',-0.315,-0.285
'2:04.039',-0.315,-0.300
'2:04.042',-0.320,-0.285
'2:04.044',-0.320,-0.270
'2:04.047',-0.310,-0.270
'2:04.050',-0.305,-0.270
'2:04.053',-0.305,-0.285
'2:04.056',-0.320,-0.305
'2:04.058',-0.315,-0.295
'2:04.061',-0.315,-0.270
'2:04.064',-0.300,-0.265
'2:04.067',-0.290,-0.265
'2:04.069',-0.290,-0.280
'2:04.072',-0.285,-0.295
'2:04.075',-0.290,-0.280
'2:04.078',-0.270,-0.275
'2:04.081',-0.245,-0.280
'2:04.083',-0.245,-0.280
'2:04.086',-0.245,-0.285
'2:04.089',-0.260,-0.270
'2:04.092',-0.265,-0.265
'2:04.094',-0.245,-0.250
'2:04.097',-0.225,-0.230
'2:04.100',-0.215,-0.240
'2:04.103',-0.210,-0.250
'2:04.106',-0.200,-0.260
'2:04.108',-0.220,-0.240
'2:04.111',-0.215,-0.235
'2:04.114',-0.210,-0.220
'2:04.117',-0.215,-0.225
'2:04.119',-0.215,-0.230
'2:04.122',-0.225,-0.240
'2:04.125',-0.240,-0.225
'2:04.128',-0.235,-0.220
'2:04.131',-0.215,-0.220
'2:04.133',-0.220,-0.210
'2:04.136',-0.235,-0.225
'2:04.139',-0.230,-0.220
'2:04.142',-0.230,-0.230
'2:04.144',-0.200,-0.235
'2:04.147',-0.185,-0.230
'2:04.150',-0.195,-0.235
'2:04.153',-0.235,-0.240
'2:04.156',-0.260,-0.255
'2:04.158',-0.275,-0.245
'2:04.161',-0.290,-0.245
'2:04.164',-0.285,-0.245
'2:04.167',-0.300,-0.265
'2:04.169',-0.305,-0.270
'2:04.172',-0.325,-0.270
'2:04.175',-0.335,-0.270
'2:04.178',-0.330,-0.255
'2:04.181',-0.315,-0.255
'2:04.183',-0.325,-0.255
'2:04.186',-0.320,-0.265
'2:04.189',-0.345,-0.270
'2:04.192',-0.350,-0.275
'2:04.194',-0.325,-0.270
'2:04.197',-0.320,-0.270
'2:04.200',-0.325,-0.255
'2:04.203',-0.320,-0.275
'2:04.206',-0.330,-0.275
'2:04.208',-0.335,-0.270
'2:04.211',-0.335,-0.260
'2:04.214',-0.335,-0.250
'2:04.217',-0.315,-0.260
'2:04.219',-0.335,-0.275
'2:04.222',-0.335,-0.285
'2:04.225',-0.345,-0.290
'2:04.228',-0.335,-0.275
'2:04.231',-0.335,-0.265
'2:04.233',-0.330,-0.270
'2:04.236',-0.335,-0.285
'2:04.239',-0.340,-0.315
'2:04.242',-0.350,-0.335
'2:04.244',-0.380,-0.355
'2:04.247',-0.410,-0.380
'2:04.250',-0.440,-0.395
'2:04.253',-0.470,-0.430
'2:04.256',-0.500,-0.410
'2:04.258',-0.535,-0.335
'2:04.261',-0.555,-0.215
'2:04.264',-0.495,-0.080
'2:04.267',-0.395,0.020
'2:04.269',-0.255,0.120
'2:04.272',-0.110,0.220
'2:04.275',0.060,0.350
'2:04.278',0.335,0.480
'2:04.281',0.620,0.590
'2:04.283',0.835,0.615
'2:04.286',0.935,0.455
'2:04.289',0.900,0.145
'2:04.292',0.675,-0.185
'2:04.294',0.285,-0.345
'2:04.297',-0.090,-0.335
'2:04.300',-0.360,-0.295
'2:04.303',-0.475,-0.310
'2:04.306',-0.480,-0.310
'2:04.308',-0.435,-0.310
'2:04.311',-0.380,-0.295
'2:04.314',-0.345,-0.290
'2:04.317',-0.350,-0.300
'2:04.319',-0.370,-0.310
'2:04.322',-0.365,-0.310
'2:04.325',-0.370,-0.315
'2:04.328',-0.365,-0.310
'2:04.331',-0.370,-0.290
'2:04.333',-0.370,-0.305
'2:04.336',-0.370,-0.310
'2:04.339',-0.385,-0.315
'2:04.342',-0.385,-0.325
'2:04.344',-0.380,-0.310
'2:04.347',-0.380,-0.290
'2:04.350',-0.370,-0.305
'2:04.353',-0.375,-0.315
'2:04.356',-0.385,-0.320
'2:04.358',-0.390,-0.315
'2:04.361',-0.380,-0.310
'2:04.364',-0.370,-0.315
'2:04.367',-0.385,-0.300
'2:04.369',-0.375,-0.310
'2:04.372',-0.370,-0.310
'2:04.375',-0.375,-0.320
'2:04.378',-0.370,-0.295
'2:04.381',-0.360,-0.300
'2:04.383',-0.365,-0.300
'2:04.386',-0.370,-0.315
'2:04.389',-0.380,-0.320
'2:04.392',-0.390,-0.310
'2:04.394',-0.370,-0.305
'2:04.397',-0.365,-0.295
'2:04.400',-0.360,-0.300
'2:04.403',-0.365,-0.310
'2:04.406',-0.375,-0.315
'2:04.408',-0.385,-0.320
'2:04.411',-0.390,-0.310
'2:04.414',-0.375,-0.295
'2:04.417',-0.365,-0.290
'2:04.419',-0.360,-0.305
'2:04.422',-0.375,-0.315
'2:04.425',-0.385,-0.320
'2:04.428',-0.385,-0.310
'2:04.431',-0.360,-0.290
'2:04.433',-0.360,-0.305
'2:04.436',-0.370,-0.315
'2:04.439',-0.375,-0.325
'2:04.442',-0.380,-0.320
'2:04.444',-0.370,-0.315
'2:04.447',-0.360,-0.300
'2:04.450',-0.355,-0.310
'2:04.453',-0.365,-0.335
'2:04.456',-0.360,-0.325
'2:04.458',-0.370,-0.320
'2:04.461',-0.365,-0.310
'2:04.464',-0.360,-0.305
'2:04.467',-0.345,-0.310
'2:04.469',-0.355,-0.325
'2:04.472',-0.360,-0.335
'2:04.475',-0.370,-0.325
'2:04.478',-0.360,-0.325
'2:04.481',-0.350,-0.315
'2:04.483',-0.355,-0.340
'2:04.486',-0.360,-0.335
'2:04.489',-0.380,-0.350
'2:04.492',-0.375,-0.350
'2:04.494',-0.360,-0.350
'2:04.497',-0.355,-0.350
'2:04.500',-0.355,-0.365
'2:04.503',-0.360,-0.370
'2:04.506',-0.380,-0.385
'2:04.508',-0.375,-0.385
'2:04.511',-0.365,-0.385
'2:04.514',-0.355,-0.370
'2:04.517',-0.360,-0.390
'2:04.519',-0.360,-0.415
'2:04.522',-0.365,-0.415
'2:04.525',-0.385,-0.415
'2:04.528',-0.380,-0.405
'2:04.531',-0.370,-0.400
'2:04.533',-0.360,-0.415
'2:04.536',-0.370,-0.425
'2:04.539',-0.375,-0.445
'2:04.542',-0.385,-0.450
'2:04.544',-0.365,-0.440
'2:04.547',-0.375,-0.420
'2:04.550',-0.370,-0.425
'2:04.553',-0.370,-0.430
'2:04.556',-0.380,-0.435
'2:04.558',-0.380,-0.430
'2:04.561',-0.365,-0.415
'2:04.564',-0.360,-0.410
'2:04.567',-0.360,-0.385
'2:04.569',-0.365,-0.385
'2:04.572',-0.380,-0.375
'2:04.575',-0.370,-0.375
